bank_entry_id,end_to_end_id,amount,currency,booking_date,description,bank_account,reference,scenario
BNK-C02-000164,E2E-C02-000000164,502.25,BRL,2026-03-12,Synthetic bank statement line REF-C02-000164,BANK-C02-003,REF-C02-000164,amount_tolerance_candidate
BNK-C02-000165,E2E-C02-000000165,107.21,BRL,2026-03-14,Synthetic bank statement line REF-C02-000165,BANK-C02-004,REF-C02-000165,bank_statement_match_candidate
BNK-C02-000166,,147.31,BRL,2026-03-14,Synthetic bank statement line REF-C02-000166,BANK-C02-005,REF-C02-000166,missing_e2e_uses_reference_fallback
BNK-C02-000167,E2E-C02-000000167,684.20,BRL,2026-03-15,Synthetic bank statement line REF-C02-000167,BANK-C02-006,REF-C02-000167,bank_statement_match_candidate
BNK-C02-000168,E2E-C02-000000168,506.05,EUR,2026-02-02,Synthetic bank statement line REF-C02-000168,BANK-C02-007,REF-C02-000168,bank_statement_match_candidate
BNK-C02-000169,E2E-C02-000000169,57.64,BRL,2026-02-03,Synthetic bank statement line REF-C02-000169,BANK-C02-008,REF-C02-000169,bank_statement_match_candidate
BNK-C02-000170,E2E-C02-000000170,170.81,BRL,2026-02-04,Synthetic bank statement line REF-C02-000170,BANK-C02-009,REF-C02-000170,bank_statement_match_candidate
BNK-C02-000171,E2E-C02-000000171,813.89,BRL,2026-02-05,Synthetic bank statement line REF-C02-000171,BANK-C02-001,REF-C02-000171,bank_statement_match_candidate
BNK-C02-000172,E2E-C02-000000172,314.56,BRL,2026-02-06,Synthetic bank statement line REF-C02-000172,BANK-C02-002,REF-C02-000172,bank_statement_match_candidate
BNK-C02-000173,E2E-C02-000000173,53.11,BRL,2026-02-07,Synthetic bank statement line REF-C02-000173,BANK-C02-003,REF-C02-000173,bank_statement_match_candidate
BNK-C02-000174,E2E-C02-000000174,612.85,BRL,2026-02-08,Synthetic bank statement line REF-C02-000174,BANK-C02-004,REF-C02-000174,bank_statement_match_candidate
BNK-C02-000175,E2E-C02-000000175,905.49,BRL,2026-02-09,Synthetic bank statement line REF-C02-000175,BANK-C02-005,REF-C02-000175,bank_statement_match_candidate
BNK-C02-000176,E2E-C02-000000176,664.88,BRL,2026-02-11,Synthetic bank statement line REF-C02-000176,BANK-C02-006,REF-C02-000176,bank_statement_match_candidate
BNK-C02-000177,E2E-C02-000000177,932.25,BRL,2026-02-11,Synthetic bank statement line REF-C02-000177,BANK-C02-007,REF-C02-000177,bank_statement_match_candidate
BNK-C02-000178,E2E-C02-000000178,492.19,BRL,2026-02-12,Synthetic bank statement line REF-C02-000178,BANK-C02-008,REF-C02-000178,bank_statement_match_candidate
BNK-C02-000179,E2E-C02-000000179,459.54,BRL,2026-02-13,Synthetic bank statement line REF-C02-000179,BANK-C02-009,REF-C02-000179,bank_statement_match_candidate
BNK-C02-000180,E2E-C02-000000180,181.44,BRL,2026-02-14,Synthetic bank statement line REF-C02-000180,BANK-C02-001,REF-C02-000180,bank_statement_match_candidate
BNK-C02-000181,E2E-C02-000000181,262.37,BRL,2026-02-15,Synthetic bank statement line REF-C02-000181,BANK-C02-002,REF-C02-000181,bank_statement_match_candidate
BNK-C02-000182,E2E-C02-000000182,510.19,BRL,2026-02-16,Synthetic bank statement line REF-C02-000182,BANK-C02-003,REF-C02-000182,bank_statement_match_candidate
BNK-C02-000183,E2E-C02-000000183,35.78,BRL,2026-02-17,Synthetic bank statement line REF-C02-000183,BANK-C02-004,REF-C02-000183,bank_statement_match_candidate
BNK-C02-000184,E2E-C02-000000184,394.09,BRL,2026-02-18,Synthetic bank statement line REF-C02-000184,BANK-C02-005,REF-C02-000184,bank_statement_match_candidate
BNK-C02-000185,E2E-C02-000000185,-6.76,BRL,2026-02-19,Synthetic bank statement line REF-C02-000185,BANK-C02-006,REF-C02-000185,bank_statement_match_candidate
BNK-C02-000186,E2E-C02-000000186,109.18,BRL,2026-02-20,Synthetic bank statement line REF-C02-000186,BANK-C02-007,REF-C02-000186,bank_statement_match_candidate
BNK-C02-000187,E2E-C02-000000187,279.67,BRL,2026-02-22,Synthetic bank statement line REF-C02-000187,BANK-C02-008,REF-C02-000187,bank_statement_match_candidate
BNK-C02-000188,E2E-C02-000000188,217.23,BRL,2026-02-22,Synthetic bank statement line REF-C02-000188,BANK-C02-009,REF-C02-000188,bank_statement_match_candidate
BNK-C02-000189,E2E-C02-000000189,865.54,BRL,2026-02-23,Synthetic bank statement line REF-C02-000189,BANK-C02-001,REF-C02-000189,bank_statement_match_candidate
BNK-C02-000190,E2E-C02-000000190,224.74,BRL,2026-02-24,Synthetic bank statement line REF-C02-000190,BANK-C02-002,REF-C02-000190,bank_statement_match_candidate
BNK-C02-000191,E2E-C02-000000191,213.12,BRL,2026-02-25,Synthetic bank statement line REF-C02-000191,BANK-C02-003,REF-C02-000191,bank_statement_match_candidate
BNK-C02-000192,E2E-C02-000000192,572.16,USD,2026-02-26,Synthetic bank statement line REF-C02-000192,BANK-C02-004,REF-C02-000192,bank_statement_match_candidate
BNK-C02-000193,E2E-C02-000000193,242.58,BRL,2026-02-27,Synthetic bank statement line REF-C02-000193,BANK-C02-005,REF-C02-000193,bank_statement_match_candidate
BNK-C02-000194,E2E-C02-000000194,704.28,BRL,2026-02-28,Synthetic bank statement line REF-C02-000194,BANK-C02-006,REF-C02-000194,bank_statement_match_candidate
BNK-C02-000195,E2E-C02-000000195,118.98,BRL,2026-03-01,Synthetic bank statement line REF-C02-000195,BANK-C02-007,REF-C02-000195,bank_statement_match_candidate
BNK-C02-000196,E2E-C02-000000196,47.36,BRL,2026-03-02,Synthetic bank statement line REF-C02-000196,BANK-C02-008,REF-C02-000196,bank_statement_match_candidate
BNK-C02-000197,E2E-C02-000000197,89.56,BRL,2026-03-03,Synthetic bank statement line REF-C02-000197,BANK-C02-009,REF-C02-000197,bank_statement_match_candidate
BNK-C02-000198,E2E-C02-000000198,884.27,BRL,2026-03-05,Synthetic bank statement line REF-C02-000198,BANK-C02-001,REF-C02-000198,bank_statement_match_candidate
BNK-C02-000199,E2E-C02-000000199,107.72,BRL,2026-03-05,Synthetic bank statement line REF-C02-000199,BANK-C02-002,REF-C02-000199,bank_statement_match_candidate
BNK-C02-000200,E2E-C02-000000200,246.07,BRL,2026-03-06,Synthetic bank statement line REF-C02-000200,BANK-C02-003,REF-C02-000200,bank_statement_match_candidate
BNK-C02-000201,E2E-C02-000000201,632.25,BRL,2026-03-07,Synthetic bank statement line REF-C02-000201,BANK-C02-004,REF-C02-000201,amount_mismatch_outside_tolerance
BNK-C02-000202,E2E-C02-000000202,852.25,BRL,2026-03-08,Synthetic bank statement line REF-C02-000202,BANK-C02-005,REF-C02-000202,bank_statement_match_candidate
BNK-C02-000203,E2E-C02-000000203,806.68,BRL,2026-03-09,Synthetic bank statement line REF-C02-000203,BANK-C02-006,REF-C02-000203,bank_statement_match_candidate
BNK-C02-000204,E2E-C02-000000204,399.94,EUR,2026-03-10,Synthetic bank statement line REF-C02-000204,BANK-C02-007,REF-C02-000204,bank_statement_match_candidate
BNK-C02-000205,E2E-C02-000000205,216.06,BRL,2026-03-11,Synthetic bank statement line REF-C02-000205,BANK-C02-008,REF-C02-000205,amount_tolerance_candidate
BNK-C02-000206,E2E-C02-000000206,878.75,BRL,2026-03-12,Synthetic bank statement line REF-C02-000206,BANK-C02-009,REF-C02-000206,bank_statement_match_candidate
BNK-C02-000207,E2E-C02-000000207,928.75,BRL,2026-03-13,Synthetic bank statement line REF-C02-000207,BANK-C02-001,REF-C02-000207,bank_statement_match_candidate
BNK-C02-000208,E2E-C02-000000208,827.62,BRL,2026-03-14,Synthetic bank statement line REF-C02-000208,BANK-C02-002,REF-C02-000208,bank_statement_match_candidate
BNK-C02-000209,E2E-C02-000000209,943.48,BRL,2026-03-16,Synthetic bank statement line REF-C02-000209,BANK-C02-003,REF-C02-000209,bank_statement_match_candidate
BNK-C02-000210,E2E-C02-000000210,127.93,BRL,2026-02-02,Synthetic bank statement line REF-C02-000210,BANK-C02-004,REF-C02-000210,bank_statement_match_candidate
BNK-C02-000211,E2E-C02-000000211,378.64,BRL,2026-02-03,Synthetic bank statement line REF-C02-000211,BANK-C02-005,REF-C02-000211,bank_statement_match_candidate
BNK-C02-000212,E2E-C02-000000212,42.79,BRL,2026-02-04,Synthetic bank statement line REF-C02-000212,BANK-C02-006,REF-C02-000212,bank_statement_match_candidate
BNK-C02-000213,E2E-C02-000000213,339.79,BRL,2026-02-05,Synthetic bank statement line REF-C02-000213,BANK-C02-007,REF-C02-000213,bank_statement_match_candidate
BNK-C02-000214,E2E-C02-000000214,168.59,BRL,2026-02-06,Synthetic bank statement line REF-C02-000214,BANK-C02-008,REF-C02-000214,bank_statement_match_candidate
BNK-C02-000215,E2E-C02-000000215,17.45,BRL,2026-02-07,Synthetic bank statement line REF-C02-000215,BANK-C02-009,REF-C02-000215,bank_statement_match_candidate
BNK-C02-000216,E2E-C02-000000216,801.18,BRL,2026-02-08,Synthetic bank statement line REF-C02-000216,BANK-C02-001,REF-C02-000216,bank_statement_match_candidate
BNK-C02-000217,E2E-C02-000000217,480.99,BRL,2026-02-09,Synthetic bank statement line REF-C02-000217,BANK-C02-002,REF-C02-000217,bank_statement_match_candidate
BNK-C02-000218,E2E-C02-000000218,585.15,BRL,2026-02-10,Synthetic bank statement line REF-C02-000218,BANK-C02-003,REF-C02-000218,bank_statement_match_candidate
BNK-C02-000219,E2E-C02-000000219,256.98,BRL,2026-02-11,Synthetic bank statement line REF-C02-000219,BANK-C02-004,REF-C02-000219,bank_statement_match_candidate
BNK-C02-000220,E2E-C02-000000220,313.77,BRL,2026-02-13,Synthetic bank statement line REF-C02-000220,BANK-C02-005,REF-C02-000220,bank_statement_match_candidate
BNK-C02-000221,E2E-C02-000000221,377.38,BRL,2026-02-13,Synthetic bank statement line REF-C02-000221,BANK-C02-006,REF-C02-000221,bank_statement_match_candidate
BNK-C02-000222,E2E-C02-000000222,-37.67,BRL,2026-02-14,Synthetic bank statement line REF-C02-000222,BANK-C02-007,REF-C02-000222,bank_statement_match_candidate
BNK-C02-000223,E2E-C02-000000223,399.31,BRL,2026-02-15,Synthetic bank statement line REF-C02-000223,BANK-C02-008,REF-C02-000223,bank_statement_match_candidate
BNK-C02-000224,E2E-C02-000000224,102.65,BRL,2026-02-16,Synthetic bank statement line REF-C02-000224,BANK-C02-009,REF-C02-000224,bank_statement_match_candidate
BNK-C02-000225,E2E-C02-000000225,162.84,BRL,2026-02-17,Synthetic bank statement line REF-C02-000225,BANK-C02-001,REF-C02-000225,bank_statement_match_candidate
BNK-C02-000226,E2E-C02-000000226,824.32,BRL,2026-02-18,Synthetic bank statement line REF-C02-000226,BANK-C02-002,REF-C02-000226,bank_statement_match_candidate
BNK-C02-000227,E2E-C02-000000227,648.63,BRL,2026-02-19,Synthetic bank statement line REF-C02-000227,BANK-C02-003,REF-C02-000227,bank_statement_match_candidate
BNK-C02-000228,E2E-C02-000000228,455.86,USD,2026-02-20,Synthetic bank statement line REF-C02-000228,BANK-C02-004,REF-C02-000228,bank_statement_match_candidate
BNK-C02-000229,E2E-C02-000000229,735.86,BRL,2026-02-21,Synthetic bank statement line REF-C02-000229,BANK-C02-005,REF-C02-000229,bank_statement_match_candidate
BNK-C02-000230,E2E-C02-000000230,466.90,BRL,2026-02-22,Synthetic bank statement line REF-C02-000230,BANK-C02-006,REF-C02-000230,bank_statement_match_candidate
BNK-C02-000231,E2E-C02-000000231,923.89,BRL,2026-02-24,Synthetic bank statement line REF-C02-000231,BANK-C02-007,REF-C02-000231,bank_statement_match_candidate
BNK-C02-000232,E2E-C02-000000232,336.52,BRL,2026-02-24,Synthetic bank statement line REF-C02-000232,BANK-C02-008,REF-C02-000232,bank_statement_match_candidate
BNK-C02-000233,E2E-C02-000000233,643.76,BRL,2026-02-25,Synthetic bank statement line REF-C02-000233,BANK-C02-009,REF-C02-000233,bank_statement_match_candidate
BNK-C02-000234,E2E-C02-000000234,251.71,BRL,2026-02-26,Synthetic bank statement line REF-C02-000234,BANK-C02-001,REF-C02-000234,bank_statement_match_candidate
BNK-C02-000235,E2E-C02-000000235,52.04,BRL,2026-02-27,Synthetic bank statement line REF-C02-000235,BANK-C02-002,REF-C02-000235,bank_statement_match_candidate
BNK-C02-000236,E2E-C02-000000236,427.95,BRL,2026-02-28,Synthetic bank statement line REF-C02-000236,BANK-C02-003,REF-C02-000236,bank_statement_match_candidate
BNK-C02-000237,E2E-C02-000000237,605.21,BRL,2026-03-01,Synthetic bank statement line REF-C02-000237,BANK-C02-004,REF-C02-000237,bank_statement_match_candidate
BNK-C02-000238,E2E-C02-000000238,320.20,BRL,2026-03-02,Synthetic bank statement line REF-C02-000238,BANK-C02-005,REF-C02-000238,bank_statement_match_candidate
BNK-C02-000239,E2E-C02-000000239,574.01,BRL,2026-03-03,Synthetic bank statement line REF-C02-000239,BANK-C02-006,REF-C02-000239,bank_statement_match_candidate
BNK-C02-000240,E2E-C02-000000240,53.36,EUR,2026-03-04,Synthetic bank statement line REF-C02-000240,BANK-C02-007,REF-C02-000240,bank_statement_match_candidate
BNK-C02-000241,E2E-C02-000000241,65.94,BRL,2026-03-05,Synthetic bank statement line REF-C02-000241,BANK-C02-008,REF-C02-000241,bank_statement_match_candidate
BNK-C02-000242,E2E-C02-000000242,106.02,BRL,2026-03-07,Synthetic bank statement line REF-C02-000242,BANK-C02-009,REF-C02-000242,bank_statement_match_candidate
BNK-C02-000243,E2E-C02-000000243,925.36,BRL,2026-03-07,Synthetic bank statement line REF-C02-000243,BANK-C02-001,REF-C02-000243,bank_statement_match_candidate
BNK-C02-000244,E2E-C02-000000244,16.10,BRL,2026-03-08,Synthetic bank statement line REF-C02-000244,BANK-C02-002,REF-C02-000244,bank_statement_match_candidate
BNK-C02-000245,E2E-C02-000000245,458.91,BRL,2026-03-09,Synthetic bank statement line REF-C02-000245,BANK-C02-003,REF-C02-000245,bank_statement_match_candidate
BNK-C02-000246,E2E-C02-000000246,720.24,BRL,2026-03-10,Synthetic bank statement line REF-C02-000246,BANK-C02-004,REF-C02-000246,amount_tolerance_candidate
BNK-C02-000247,E2E-C02-000000247,214.49,BRL,2026-03-11,Synthetic bank statement line REF-C02-000247,BANK-C02-005,REF-C02-000247,bank_statement_match_candidate
BNK-C02-000248,E2E-C02-000000248,505.96,BRL,2026-03-12,Synthetic bank statement line REF-C02-000248,BANK-C02-006,REF-C02-000248,bank_statement_match_candidate
BNK-C02-000249,,38.60,BRL,2026-03-13,Synthetic bank statement line REF-C02-000249,BANK-C02-007,REF-C02-000249,missing_e2e_uses_reference_fallback
BNK-C02-000250,E2E-C02-000000250,10.81,BRL,2026-03-14,Synthetic bank statement line REF-C02-000250,BANK-C02-008,REF-C02-000250,bank_statement_match_candidate
BNK-C02-000251,E2E-C02-000000251,754.81,BRL,2026-03-15,Synthetic bank statement line REF-C02-000251,BANK-C02-009,REF-C02-000251,bank_statement_match_candidate
BNK-C02-000252,E2E-C02-000000252,454.84,BRL,2026-02-02,Synthetic bank statement line REF-C02-000252,BANK-C02-001,REF-C02-000252,bank_statement_match_candidate
BNK-C02-000253,E2E-C02-000000253,711.70,BRL,2026-02-04,Synthetic bank statement line REF-C02-000253,BANK-C02-002,REF-C02-000253,bank_statement_match_candidate
BNK-C02-000254,E2E-C02-000000254,335.95,BRL,2026-02-04,Synthetic bank statement line REF-C02-000254,BANK-C02-003,REF-C02-000254,bank_statement_match_candidate
BNK-C02-000255,E2E-C02-000000255,857.10,BRL,2026-02-05,Synthetic bank statement line REF-C02-000255,BANK-C02-004,REF-C02-000255,bank_statement_match_candidate
BNK-C02-000256,E2E-C02-000000256,23.89,BRL,2026-02-06,Synthetic bank statement line REF-C02-000256,BANK-C02-005,REF-C02-000256,bank_statement_match_candidate
BNK-C02-000257,E2E-C02-000000257,599.61,BRL,2026-02-07,Synthetic bank statement line REF-C02-000257,BANK-C02-006,REF-C02-000257,bank_statement_match_candidate
BNK-C02-000258,E2E-C02-000000258,759.93,BRL,2026-02-08,Synthetic bank statement line REF-C02-000258,BANK-C02-007,REF-C02-000258,bank_statement_match_candidate
BNK-C02-000259,E2E-C02-000000259,-11.14,BRL,2026-02-09,Synthetic bank statement line REF-C02-000259,BANK-C02-008,REF-C02-000259,bank_statement_match_candidate
BNK-C02-000260,E2E-C02-000000260,711.35,BRL,2026-02-10,Synthetic bank statement line REF-C02-000260,BANK-C02-009,REF-C02-000260,bank_statement_match_candidate
BNK-C02-000261,E2E-C02-000000261,67.59,BRL,2026-02-11,Synthetic bank statement line REF-C02-000261,BANK-C02-001,REF-C02-000261,bank_statement_match_candidate
BNK-C02-000262,E2E-C02-000000262,149.80,BRL,2026-02-12,Synthetic bank statement line REF-C02-000262,BANK-C02-002,REF-C02-000262,bank_statement_match_candidate
BNK-C02-000263,E2E-C02-000000263,541.94,BRL,2026-02-13,Synthetic bank statement line REF-C02-000263,BANK-C02-003,REF-C02-000263,bank_statement_match_candidate
BNK-C02-000264,E2E-C02-000000264,41.49,USD,2026-02-15,Synthetic bank statement line REF-C02-000264,BANK-C02-004,REF-C02-000264,bank_statement_match_candidate
BNK-C02-000265,E2E-C02-000000265,639.01,BRL,2026-02-15,Synthetic bank statement line REF-C02-000265,BANK-C02-005,REF-C02-000265,bank_statement_match_candidate
BNK-C02-000266,E2E-C02-000000266,393.83,BRL,2026-02-16,Synthetic bank statement line REF-C02-000266,BANK-C02-006,REF-C02-000266,bank_statement_match_candidate
BNK-C02-000267,E2E-C02-000000267,803.66,BRL,2026-02-17,Synthetic bank statement line REF-C02-000267,BANK-C02-007,REF-C02-000267,bank_statement_match_candidate
BNK-C02-000268,E2E-C02-000000268,131.69,BRL,2026-02-18,Synthetic bank statement line REF-C02-000268,BANK-C02-008,REF-C02-000268,amount_mismatch_outside_tolerance
BNK-C02-000269,E2E-C02-000000269,180.98,BRL,2026-02-19,Synthetic bank statement line REF-C02-000269,BANK-C02-009,REF-C02-000269,bank_statement_match_candidate
BNK-C02-000270,E2E-C02-000000270,74.34,BRL,2026-02-20,Synthetic bank statement line REF-C02-000270,BANK-C02-001,REF-C02-000270,bank_statement_match_candidate
BNK-C02-000271,E2E-C02-000000271,769.00,BRL,2026-02-21,Synthetic bank statement line REF-C02-000271,BANK-C02-002,REF-C02-000271,bank_statement_match_candidate
BNK-C02-000272,E2E-C02-000000272,560.29,BRL,2026-02-22,Synthetic bank statement line REF-C02-000272,BANK-C02-003,REF-C02-000272,bank_statement_match_candidate
BNK-C02-000273,E2E-C02-000000273,97.46,BRL,2026-02-23,Synthetic bank statement line REF-C02-000273,BANK-C02-004,REF-C02-000273,bank_statement_match_candidate
BNK-C02-000274,E2E-C02-000000274,391.76,BRL,2026-02-24,Synthetic bank statement line REF-C02-000274,BANK-C02-005,REF-C02-000274,bank_statement_match_candidate
BNK-C02-000275,E2E-C02-000000275,94.45,BRL,2026-02-26,Synthetic bank statement line REF-C02-000275,BANK-C02-006,REF-C02-000275,bank_statement_match_candidate
BNK-C02-000276,E2E-C02-000000276,575.15,EUR,2026-02-26,Synthetic bank statement line REF-C02-000276,BANK-C02-007,REF-C02-000276,bank_statement_match_candidate
BNK-C02-000277,E2E-C02-000000277,669.31,BRL,2026-02-27,Synthetic bank statement line REF-C02-000277,BANK-C02-008,REF-C02-000277,bank_statement_match_candidate
BNK-C02-000278,E2E-C02-000000278,545.01,BRL,2026-02-28,Synthetic bank statement line REF-C02-000278,BANK-C02-009,REF-C02-000278,bank_statement_match_candidate
BNK-C02-000279,E2E-C02-000000279,929.95,BRL,2026-03-01,Synthetic bank statement line REF-C02-000279,BANK-C02-001,REF-C02-000279,bank_statement_match_candidate
BNK-C02-000280,E2E-C02-000000280,318.23,BRL,2026-03-02,Synthetic bank statement line REF-C02-000280,BANK-C02-002,REF-C02-000280,bank_statement_match_candidate
BNK-C02-000281,E2E-C02-000000281,277.02,BRL,2026-03-03,Synthetic bank statement line REF-C02-000281,BANK-C02-003,REF-C02-000281,bank_statement_match_candidate
BNK-C02-000282,E2E-C02-000000282,300.90,BRL,2026-03-04,Synthetic bank statement line REF-C02-000282,BANK-C02-004,REF-C02-000282,bank_statement_match_candidate
BNK-C02-000283,E2E-C02-000000283,704.38,BRL,2026-03-05,Synthetic bank statement line REF-C02-000283,BANK-C02-005,REF-C02-000283,bank_statement_match_candidate
BNK-C02-000284,E2E-C02-000000284,862.89,BRL,2026-03-06,Synthetic bank statement line REF-C02-000284,BANK-C02-006,REF-C02-000284,bank_statement_match_candidate
BNK-C02-000285,E2E-C02-000000285,433.47,BRL,2026-03-07,Synthetic bank statement line REF-C02-000285,BANK-C02-007,REF-C02-000285,bank_statement_match_candidate
BNK-C02-000286,E2E-C02-000000286,256.83,BRL,2026-03-09,Synthetic bank statement line REF-C02-000286,BANK-C02-008,REF-C02-000286,bank_statement_match_candidate
BNK-C02-000287,E2E-C02-000000287,678.56,BRL,2026-03-09,Synthetic bank statement line REF-C02-000287,BANK-C02-009,REF-C02-000287,amount_tolerance_candidate
BNK-C02-000288,E2E-C02-000000288,841.03,BRL,2026-03-10,Synthetic bank statement line REF-C02-000288,BANK-C02-001,REF-C02-000288,bank_statement_match_candidate
BNK-C02-000289,E2E-C02-000000289,809.33,BRL,2026-03-11,Synthetic bank statement line REF-C02-000289,BANK-C02-002,REF-C02-000289,bank_statement_match_candidate
BNK-C02-000290,E2E-C02-000000290,184.57,BRL,2026-03-12,Synthetic bank statement line REF-C02-000290,BANK-C02-003,REF-C02-000290,bank_statement_match_candidate
BNK-C02-000291,E2E-C02-000000291,812.22,BRL,2026-03-13,Synthetic bank statement line REF-C02-000291,BANK-C02-004,REF-C02-000291,bank_statement_match_candidate
BNK-C02-000292,E2E-C02-000000292,16.40,BRL,2026-03-14,Synthetic bank statement line REF-C02-000292,BANK-C02-005,REF-C02-000292,bank_statement_match_candidate
BNK-C02-000293,E2E-C02-000000293,273.39,BRL,2026-03-15,Synthetic bank statement line REF-C02-000293,BANK-C02-006,REF-C02-000293,bank_statement_match_candidate
BNK-C02-000294,E2E-C02-000000294,76.63,BRL,2026-02-02,Synthetic bank statement line REF-C02-000294,BANK-C02-007,REF-C02-000294,bank_statement_match_candidate
BNK-C02-000295,E2E-C02-000000295,912.71,BRL,2026-02-03,Synthetic bank statement line REF-C02-000295,BANK-C02-008,REF-C02-000295,bank_statement_match_candidate
BNK-C02-000296,E2E-C02-000000296,-46.58,BRL,2026-02-04,Synthetic bank statement line REF-C02-000296,BANK-C02-009,REF-C02-000296,bank_statement_match_candidate
BNK-C02-000297,E2E-C02-000000297,436.42,BRL,2026-02-06,Synthetic bank statement line REF-C02-000297,BANK-C02-001,REF-C02-000297,bank_statement_match_candidate
BNK-C02-000298,E2E-C02-000000298,157.01,BRL,2026-02-06,Synthetic bank statement line REF-C02-000298,BANK-C02-002,REF-C02-000298,bank_statement_match_candidate
BNK-C02-000299,E2E-C02-000000299,420.63,BRL,2026-02-07,Synthetic bank statement line REF-C02-000299,BANK-C02-003,REF-C02-000299,bank_statement_match_candidate
BNK-C02-000300,E2E-C02-000000300,704.64,USD,2026-02-08,Synthetic bank statement line REF-C02-000300,BANK-C02-004,REF-C02-000300,bank_statement_match_candidate
BNK-C02-000301,E2E-C02-000000301,528.46,BRL,2026-02-09,Synthetic bank statement line REF-C02-000301,BANK-C02-005,REF-C02-000301,bank_statement_match_candidate
BNK-C02-000302,E2E-C02-000000302,747.32,BRL,2026-02-10,Synthetic bank statement line REF-C02-000302,BANK-C02-006,REF-C02-000302,bank_statement_match_candidate
BNK-C02-000303,E2E-C02-000000303,845.86,BRL,2026-02-11,Synthetic bank statement line REF-C02-000303,BANK-C02-007,REF-C02-000303,bank_statement_match_candidate
BNK-C02-000304,E2E-C02-000000304,842.92,BRL,2026-02-12,Synthetic bank statement line REF-C02-000304,BANK-C02-008,REF-C02-000304,bank_statement_match_candidate
BNK-C02-000305,E2E-C02-000000305,434.10,BRL,2026-02-13,Synthetic bank statement line REF-C02-000305,BANK-C02-009,REF-C02-000305,bank_statement_match_candidate
BNK-C02-000306,E2E-C02-000000306,929.09,BRL,2026-02-14,Synthetic bank statement line REF-C02-000306,BANK-C02-001,REF-C02-000306,bank_statement_match_candidate
BNK-C02-000307,E2E-C02-000000307,317.02,BRL,2026-02-15,Synthetic bank statement line REF-C02-000307,BANK-C02-002,REF-C02-000307,bank_statement_match_candidate
BNK-C02-000308,E2E-C02-000000308,706.90,BRL,2026-02-17,Synthetic bank statement line REF-C02-000308,BANK-C02-003,REF-C02-000308,bank_statement_match_candidate
BNK-C02-000309,E2E-C02-000000309,802.55,BRL,2026-02-17,Synthetic bank statement line REF-C02-000309,BANK-C02-004,REF-C02-000309,bank_statement_match_candidate
BNK-C02-000310,E2E-C02-000000310,361.66,BRL,2026-02-18,Synthetic bank statement line REF-C02-000310,BANK-C02-005,REF-C02-000310,bank_statement_match_candidate
BNK-C02-000311,E2E-C02-000000311,128.53,BRL,2026-02-19,Synthetic bank statement line REF-C02-000311,BANK-C02-006,REF-C02-000311,bank_statement_match_candidate
BNK-C02-000312,E2E-C02-000000312,860.38,EUR,2026-02-20,Synthetic bank statement line REF-C02-000312,BANK-C02-007,REF-C02-000312,bank_statement_match_candidate
BNK-C02-000313,E2E-C02-000000313,886.87,BRL,2026-02-21,Synthetic bank statement line REF-C02-000313,BANK-C02-008,REF-C02-000313,bank_statement_match_candidate
BNK-C02-000314,E2E-C02-000000314,439.15,BRL,2026-02-22,Synthetic bank statement line REF-C02-000314,BANK-C02-009,REF-C02-000314,bank_statement_match_candidate
BNK-C02-000315,E2E-C02-000000315,561.51,BRL,2026-02-23,Synthetic bank statement line REF-C02-000315,BANK-C02-001,REF-C02-000315,bank_statement_match_candidate
BNK-C02-000316,E2E-C02-000000316,239.74,BRL,2026-02-24,Synthetic bank statement line REF-C02-000316,BANK-C02-002,REF-C02-000316,bank_statement_match_candidate
BNK-C02-000317,E2E-C02-000000317,277.50,BRL,2026-02-25,Synthetic bank statement line REF-C02-000317,BANK-C02-003,REF-C02-000317,bank_statement_match_candidate
BNK-C02-000318,E2E-C02-000000318,924.93,BRL,2026-02-26,Synthetic bank statement line REF-C02-000318,BANK-C02-004,REF-C02-000318,bank_statement_match_candidate
BNK-C02-000319,E2E-C02-000000319,399.03,BRL,2026-02-28,Synthetic bank statement line REF-C02-000319,BANK-C02-005,REF-C02-000319,bank_statement_match_candidate
BNK-C02-000320,E2E-C02-000000320,347.22,BRL,2026-02-28,Synthetic bank statement line REF-C02-000320,BANK-C02-006,REF-C02-000320,bank_statement_match_candidate
BNK-C02-000321,E2E-C02-000000321,900.84,BRL,2026-03-01,Synthetic bank statement line REF-C02-000321,BANK-C02-007,REF-C02-000321,bank_statement_match_candidate
BNK-C02-000322,E2E-C02-000000322,220.42,BRL,2026-03-02,Synthetic bank statement line REF-C02-000322,BANK-C02-008,REF-C02-000322,bank_statement_match_candidate
BNK-C02-000323,E2E-C02-000000323,149.31,BRL,2026-03-03,Synthetic bank statement line REF-C02-000323,BANK-C02-009,REF-C02-000323,bank_statement_match_candidate
BNK-C02-000324,E2E-C02-000000324,66.58,BRL,2026-03-04,Synthetic bank statement line REF-C02-000324,BANK-C02-001,REF-C02-000324,bank_statement_match_candidate
BNK-C02-000325,E2E-C02-000000325,581.80,BRL,2026-03-05,Synthetic bank statement line REF-C02-000325,BANK-C02-002,REF-C02-000325,bank_statement_match_candidate
BNK-C02-000326,E2E-C02-000000326,672.43,BRL,2026-03-06,Synthetic bank statement line REF-C02-000326,BANK-C02-003,REF-C02-000326,bank_statement_match_candidate
BNK-C02-000327,E2E-C02-000000327,774.60,BRL,2026-03-07,Synthetic bank statement line REF-C02-000327,BANK-C02-004,REF-C02-000327,bank_statement_match_candidate
